sample_id,Type,dist_depth,Distance,Depth1,Depth,Cag_Cont,cage_number,site,Distance_m,Depth_m,conductivity,oxygen,salinity,temperature,PAR,fluorescence,turbidity,NH4,NOX,NO2,PO4,lat,long
T1_D0_DP1,T1,D0_DP1,D0,Surface (0 - 4 m),DP1,Lease,1,lease_1,0,0,5862.10411,8.447621029,4.078257293,12.99419052,0.568951896,2.748757607,2.095569183,0.55,1.05,0.185,0.03,-42.331465,145.392204
T1_D1_DP1,T1,D1_DP1,D1,Surface (0 - 4 m),DP1,Lease,1,lease_1,16.5,3,6185.4375,9.716375,4.568225,12.5021875,0.45806125,2.767,1.83745,0.54,2.35,0.116,-0.02,-42.33148069,145.392403
T1_D1_DP2,T1,D1_DP2,D1,Middle (10 - 15 m),DP2,Lease,1,lease_1,16.5,15,34352.33333,3.6406,27.9849,14.05196667,0.003515767,1.28595,0.3435,0.08,7.25,0.007,0.13,-42.33148069,145.392403
T1_D1_DP3,T1,D1_DP3,D1,Bottom (20 - 37 m),DP3,Lease,1,lease_1,16.5,36,36953.4,0.59416,29.98219,14.51354,0.00269933,1.2743,0.75008,0.07,8.88,0.021,0.4,-42.33148069,145.392403
T1_D2_DP1,T1,D2_DP1,D2,Surface (0 - 4 m),DP1,Lease,1,lease_1,18.2,3,9411,7.4097,7.285475,12.85175,1.4126425,2.7633,1.899725,0.65,2.73,0.058,0.03,-42.33143405,145.392421
T1_D2_DP2,T1,D2_DP2,D2,Middle (10 - 15 m),DP2,Lease,1,lease_1,18.2,15,34550.25,3.28565,28.126225,14.103675,0.00368565,1.28755,0.3487,0.26,6.42,0.035,0.14,-42.33143405,145.392421
T1_D2_DP3,T1,D2_DP3,D2,Bottom (20 - 37 m),DP3,Lease,1,lease_1,18.2,36,36956,0.56194,29.98508,14.51274,0.0041606,1.27524,0.74734,0.15,6.85,0.036,0.32,-42.33143405,145.392421
T1_D3_DP1,T1,D3_DP1,D3,Surface (0 - 4 m),DP1,Lease,1,lease_1,82.6,3,7485.4,7.10044,5.65614,12.89944,0.02494754,2.74162,1.90132,0.61,1.54,0.302,0,-42.33151401,145.3932052
T1_D3_DP2,T1,D3_DP2,D3,Middle (10 - 15 m),DP2,Lease,1,lease_1,82.6,15,35030.75,3.18905,28.53615,14.135975,0.003489975,1.286025,0.35215,0.18,6.62,0.097,0.13,-42.33151401,145.3932052
T1_D3_DP3,T1,D3_DP3,D3,Bottom (20 - 37 m),DP3,Lease,1,lease_1,82.6,35,36935.33333,0.663466667,29.96916667,14.50976667,0.003450433,1.269933333,0.427033333,0.11,7.99,0.163,0.3,-42.33151401,145.3932052
